Tree node ID,Tree node label,Color,Label
Mimivirus,Mimivirus,,
Unclass. Nucleocytoviricota G,Unclass. Nucleocytoviricota G,,
Muromegalovirus,Muromegalovirus,,
Varicellovirus,Varicellovirus,,
Badnavirus,Badnavirus,,
Unclass. Artverviricota G,Unclass. Artverviricota G,,
Unclass. Uroviricota G,Unclass. Uroviricota G,,
Unclass. Myoviridae,Unclass. Myoviridae,,
Unclass. Caudovirales G,Unclass. Caudovirales G,,
Unclass. Fusariviridae,Unclass. Fusariviridae,,
Unclass. Permutotetraviridae,Unclass. Permutotetraviridae,,
Unclass. Polymycoviridae,Unclass. Polymycoviridae,,
Polymycovirus,Polymycovirus,,
Negevirus,Negevirus,,
Unclass. G,Unclass. G,,
Botybirnavirus,Botybirnavirus,,
Avibirnavirus,Avibirnavirus,,
Unclass. Birnaviridae,Unclass. Birnaviridae,,
Aquabirnavirus,Aquabirnavirus,,
Entomobirnavirus,Entomobirnavirus,,
Unclass. Lenarviricota G,Unclass. Lenarviricota G,,
Unclass. Howeltoviricetes G,Unclass. Howeltoviricetes G,,
Unclass. Cryppavirales G,Unclass. Cryppavirales G,,
Unclass. Mitoviridae,Unclass. Mitoviridae,,
Mitovirus,Mitovirus,,
Unclass. Amabiliviricetes G,Unclass. Amabiliviricetes G,,
Unclass. Wolframvirales G,Unclass. Wolframvirales G,,
Narnavirus,Narnavirus,,
Unclass. Narnaviridae,Unclass. Narnaviridae,,
Unclass. Allassoviricetes G,Unclass. Allassoviricetes G,,
Unclass. Levivirales G,Unclass. Levivirales G,,
Allolevivirus,Allolevivirus,,
Unclass. Leviviridae,Unclass. Leviviridae,,
Levivirus,Levivirus,,
Unclass. Miaviricetes G,Unclass. Miaviricetes G,,
Unclass. Ourlivirales G,Unclass. Ourlivirales G,,
Botoulivirus,Botoulivirus,,
Unclass. Botourmiaviridae,Unclass. Botourmiaviridae,,
Ourmiavirus,Ourmiavirus,,
Scleroulivirus,Scleroulivirus,,
Unclass. Duplornaviricota G,Unclass. Duplornaviricota G,,
Unclass. Vidaverviricetes G,Unclass. Vidaverviricetes G,,
Unclass. Mindivirales G,Unclass. Mindivirales G,,
Unclass. Cystoviridae,Unclass. Cystoviridae,,
Cystovirus,Cystovirus,,
Unclass. Resentoviricetes G,Unclass. Resentoviricetes G,,
Unclass. Reovirales G,Unclass. Reovirales G,,
Orthoreovirus,Orthoreovirus,,
Fijivirus,Fijivirus,,
Phytoreovirus,Phytoreovirus,,
Unclass. Reoviridae,Unclass. Reoviridae,,
Aquareovirus,Aquareovirus,,
Cypovirus,Cypovirus,,
Rotavirus,Rotavirus,,
Orbivirus,Orbivirus,,
Seadornavirus,Seadornavirus,,
Cardoreovirus,Cardoreovirus,,
Unclass. Chrymotiviricetes G,Unclass. Chrymotiviricetes G,,
Quadrivirus,Quadrivirus,,
Unclass. Ghabrivirales G,Unclass. Ghabrivirales G,,
Megabirnavirus,Megabirnavirus,,
Unclass. Megabirnaviridae,Unclass. Megabirnaviridae,,
Alphachrysovirus,Alphachrysovirus,,
Chrysovirus,Chrysovirus,,
Betachrysovirus,Betachrysovirus,,
Unclass. Chrysoviridae,Unclass. Chrysoviridae,,
Unclass. Totiviridae,Unclass. Totiviridae,,
Leishmaniavirus,Leishmaniavirus,,
Giardiavirus,Giardiavirus,,
Victorivirus,Victorivirus,,
Trichomonasvirus,Trichomonasvirus,,
Totivirus,Totivirus,,
Unclass. Kitrinoviricota G,Unclass. Kitrinoviricota G,,
Unclass. Flasuviricetes G,Unclass. Flasuviricetes G,,
Unclass. Amarillovirales G,Unclass. Amarillovirales G,,
Flavivirus,Flavivirus,,
Pegivirus,Pegivirus,,
Unclass. Flaviviridae,Unclass. Flaviviridae,,
Pestivirus,Pestivirus,,
Hepacivirus,Hepacivirus,,
Unclass. Magsaviricetes G,Unclass. Magsaviricetes G,,
Unclass. Nodamuvirales G,Unclass. Nodamuvirales G,,
Unclass. Sinhaliviridae,Unclass. Sinhaliviridae,,
Sinaivirus,Sinaivirus,,
Betanodavirus,Betanodavirus,,
Unclass. Nodaviridae,Unclass. Nodaviridae,,
Alphanodavirus,Alphanodavirus,,
Unclass. Tolucaviricetes G,Unclass. Tolucaviricetes G,,
Unclass. Tolivirales G,Unclass. Tolivirales G,,
Unclass. Carmotetraviridae,Unclass. Carmotetraviridae,,
Alphacarmotetravirus,Alphacarmotetravirus,,
Enamovirus,Enamovirus,,
Luteovirus,Luteovirus,,
Polerovirus,Polerovirus,,
Unclass. Luteoviridae,Unclass. Luteoviridae,,
Betanecrovirus,Betanecrovirus,,
Pelarspovirus,Pelarspovirus,,
Umbravirus,Umbravirus,,
Tombusvirus,Tombusvirus,,
Gammacarmovirus,Gammacarmovirus,,
Aureusvirus,Aureusvirus,,
Machlomovirus,Machlomovirus,,
Alphanecrovirus,Alphanecrovirus,,
Betacarmovirus,Betacarmovirus,,
Alphacarmovirus,Alphacarmovirus,,
Unclass. Tombusviridae,Unclass. Tombusviridae,,
Dianthovirus,Dianthovirus,,
Panicovirus,Panicovirus,,
Unclass. Alsuviricetes G,Unclass. Alsuviricetes G,,
Unclass. Hepelivirales G,Unclass. Hepelivirales G,,
Unclass. Benyviridae,Unclass. Benyviridae,,
Benyvirus,Benyvirus,,
Unclass. Matonaviridae,Unclass. Matonaviridae,,
Rubivirus,Rubivirus,,
Omegatetravirus,Omegatetravirus,,
Unclass. Alphatetraviridae,Unclass. Alphatetraviridae,,
Orthohepevirus,Orthohepevirus,,
Unclass. Hepeviridae,Unclass. Hepeviridae,,
Piscihepevirus,Piscihepevirus,,
Unclass. Tymovirales G,Unclass. Tymovirales G,,
Unclass. Deltaflexiviridae,Unclass. Deltaflexiviridae,,
Deltaflexivirus,Deltaflexivirus,,
Mycoflexivirus,Mycoflexivirus,,
Unclass. Gammaflexiviridae,Unclass. Gammaflexiviridae,,
Tymovirus,Tymovirus,,
Marafivirus,Marafivirus,,
Unclass. Tymoviridae,Unclass. Tymoviridae,,
Maculavirus,Maculavirus,,
Potexvirus,Potexvirus,,
Sclerodarnavirus,Sclerodarnavirus,,
Unclass. Alphaflexiviridae,Unclass. Alphaflexiviridae,,
Allexivirus,Allexivirus,,
Platypuvirus,Platypuvirus,,
Mandarivirus,Mandarivirus,,
Robigovirus,Robigovirus,,
Foveavirus,Foveavirus,,
Tepovirus,Tepovirus,,
Carlavirus,Carlavirus,,
Capillovirus,Capillovirus,,
Vitivirus,Vitivirus,,
Unclass. Betaflexiviridae,Unclass. Betaflexiviridae,,
Trichovirus,Trichovirus,,
Divavirus,Divavirus,,
Prunevirus,Prunevirus,,
Citrivirus,Citrivirus,,
Chordovirus,Chordovirus,,
Unclass. Martellivirales G,Unclass. Martellivirales G,,
Unclass. Togaviridae,Unclass. Togaviridae,,
Alphavirus,Alphavirus,,
Unclass. Kitaviridae,Unclass. Kitaviridae,,
Cilevirus,Cilevirus,,
Unclass. Mayoviridae,Unclass. Mayoviridae,,
Idaeovirus,Idaeovirus,,
Alphaendornavirus,Alphaendornavirus,,
Unclass. Endornaviridae,Unclass. Endornaviridae,,
Betaendornavirus,Betaendornavirus,,
Crinivirus,Crinivirus,,
Closterovirus,Closterovirus,,
Ampelovirus,Ampelovirus,,
Unclass. Closteroviridae,Unclass. Closteroviridae,,
Velarivirus,Velarivirus,,
Bromovirus,Bromovirus,,
Ilarvirus,Ilarvirus,,
Cucumovirus,Cucumovirus,,
Anulavirus,Anulavirus,,
Unclass. Bromoviridae,Unclass. Bromoviridae,,
Alfamovirus,Alfamovirus,,
Tobamovirus,Tobamovirus,,
Furovirus,Furovirus,,
Unclass. Virgaviridae,Unclass. Virgaviridae,,
Pomovirus,Pomovirus,,
Tobravirus,Tobravirus,,
Hordeivirus,Hordeivirus,,
Pecluvirus,Pecluvirus,,
Unclass. Negarnaviricota G,Unclass. Negarnaviricota G,,
Unclass. Serpentovirales G,Unclass. Serpentovirales G,,
Unclass. Milneviricetes G,Unclass. Milneviricetes G,,
Unclass. Yunchangviricetes G,Unclass. Yunchangviricetes G,,
Unclass. Goujianvirales G,Unclass. Goujianvirales G,,
Yuyuevirus,Yuyuevirus,,
Unclass. Yueviridae,Unclass. Yueviridae,,
Unclass. Insthoviricetes G,Unclass. Insthoviricetes G,,
Tilapinevirus,Tilapinevirus,,
Unclass. Articulavirales G,Unclass. Articulavirales G,,
Alphainfluenzavirus,Alphainfluenzavirus,,
Unclass. Orthomyxoviridae,Unclass. Orthomyxoviridae,,
Thogotovirus,Thogotovirus,,
Deltainfluenzavirus,Deltainfluenzavirus,,
Gammainfluenzavirus,Gammainfluenzavirus,,
Betainfluenzavirus,Betainfluenzavirus,,
Isavirus,Isavirus,,
Quaranjavirus,Quaranjavirus,,
Unclass. Ellioviricetes G,Unclass. Ellioviricetes G,,
Unclass. Bunyavirales G,Unclass. Bunyavirales G,,
Unclass. Nairoviridae,Unclass. Nairoviridae,,
Orthonairovirus,Orthonairovirus,,
Unclass. Fimoviridae,Unclass. Fimoviridae,,
Emaravirus,Emaravirus,,
Unclass. Tospoviridae,Unclass. Tospoviridae,,
Orthotospovirus,Orthotospovirus,,
Feravirus,Feravirus,,
Unclass. Phasmaviridae,Unclass. Phasmaviridae,,
Orthophasmavirus,Orthophasmavirus,,
Jonvirus,Jonvirus,,
Unclass. Peribunyaviridae,Unclass. Peribunyaviridae,,
Orthobunyavirus,Orthobunyavirus,,
Herbevirus,Herbevirus,,
Pacuvirus,Pacuvirus,,
Orthohantavirus,Orthohantavirus,,
Mobatvirus,Mobatvirus,,
Thottimvirus,Thottimvirus,,
Unclass. Hantaviridae,Unclass. Hantaviridae,,
Reptarenavirus,Reptarenavirus,,
Mammarenavirus,Mammarenavirus,,
Hartmanivirus,Hartmanivirus,,
Unclass. Arenaviridae,Unclass. Arenaviridae,,
Arenavirus,Arenavirus,,
Phlebovirus,Phlebovirus,,
Tenuivirus,Tenuivirus,,
Ixovirus,Ixovirus,,
Uukuvirus,Uukuvirus,,
Phasivirus,Phasivirus,,
Bandavirus,Bandavirus,,
Wenrivirus,Wenrivirus,,
Unclass. Phenuiviridae,Unclass. Phenuiviridae,,
Rubodvirus,Rubodvirus,,
Goukovirus,Goukovirus,,
Mobuvirus,Mobuvirus,,
Coguvirus,Coguvirus,,
Entovirus,Entovirus,,
Unclass. Monjiviricetes G,Unclass. Monjiviricetes G,,
Unclass. Jingchuvirales G,Unclass. Jingchuvirales G,,
Unclass. Chuviridae,Unclass. Chuviridae,,
Mivirus,Mivirus,,
Unclass. Mononegavirales G,Unclass. Mononegavirales G,,
Unclass. Lispiviridae,Unclass. Lispiviridae,,
Unclass. Xinmoviridae,Unclass. Xinmoviridae,,
Anphevirus,Anphevirus,,
Sclerotimonavirus,Sclerotimonavirus,,
Unclass. Mymonaviridae,Unclass. Mymonaviridae,,
Peropuvirus,Peropuvirus,,
Unclass. Artoviridae,Unclass. Artoviridae,,
Ebolavirus,Ebolavirus,,
Marburgvirus,Marburgvirus,,
Unclass. Filoviridae,Unclass. Filoviridae,,
Orthobornavirus,Orthobornavirus,,
Unclass. Bornaviridae,Unclass. Bornaviridae,,
Carbovirus,Carbovirus,,
Metapneumovirus,Metapneumovirus,,
Orthopneumovirus,Orthopneumovirus,,
Unclass. Pneumoviridae,Unclass. Pneumoviridae,,
Nyavirus,Nyavirus,,
Orinovirus,Orinovirus,,
Unclass. Nyamiviridae,Unclass. Nyamiviridae,,
Morbillivirus,Morbillivirus,,
Henipavirus,Henipavirus,,
Orthorubulavirus,Orthorubulavirus,,
Metaavulavirus,Metaavulavirus,,
Respirovirus,Respirovirus,,
Jeilongvirus,Jeilongvirus,,
Orthoavulavirus,Orthoavulavirus,,
Pararubulavirus,Pararubulavirus,,
Aquaparamyxovirus,Aquaparamyxovirus,,
Unclass. Paramyxoviridae,Unclass. Paramyxoviridae,,
Paraavulavirus,Paraavulavirus,,
Narmovirus,Narmovirus,,
Hoplichthysvirus,Hoplichthysvirus,,
Ferlavirus,Ferlavirus,,
Nucleorhabdovirus,Nucleorhabdovirus,,
Vesiculovirus,Vesiculovirus,,
Ledantevirus,Ledantevirus,,
Cytorhabdovirus,Cytorhabdovirus,,
Unclass. Rhabdoviridae,Unclass. Rhabdoviridae,,
Lyssavirus,Lyssavirus,,
Hapavirus,Hapavirus,,
Perhabdovirus,Perhabdovirus,,
Ephemerovirus,Ephemerovirus,,
Alphanucleorhabdovirus,Alphanucleorhabdovirus,,
Dichorhavirus,Dichorhavirus,,
Sigmavirus,Sigmavirus,,
Novirhabdovirus,Novirhabdovirus,,
Varicosavirus,Varicosavirus,,
Curiovirus,Curiovirus,,
Tibrovirus,Tibrovirus,,
Sripuvirus,Sripuvirus,,
Sprivivirus,Sprivivirus,,
Sawgrhavirus,Sawgrhavirus,,
Sunrhavirus,Sunrhavirus,,
Alphanemrhavirus,Alphanemrhavirus,,
Barhavirus,Barhavirus,,
Almendravirus,Almendravirus,,
Ohlsrhavirus,Ohlsrhavirus,,
Tupavirus,Tupavirus,,
Caligrhavirus,Caligrhavirus,,
Unclass. Pisuviricota G,Unclass. Pisuviricota G,,
Unclass. Duplopiviricetes G,Unclass. Duplopiviricetes G,,
Unclass. Durnavirales G,Unclass. Durnavirales G,,
Unclass. Hypoviridae,Unclass. Hypoviridae,,
Hypovirus,Hypovirus,,
Unclass. Picobirnaviridae,Unclass. Picobirnaviridae,,
Picobirnavirus,Picobirnavirus,,
Amalgavirus,Amalgavirus,,
Zybavirus,Zybavirus,,
Unclass. Amalgaviridae,Unclass. Amalgaviridae,,
Deltapartitivirus,Deltapartitivirus,,
Unclass. Partitiviridae,Unclass. Partitiviridae,,
Betapartitivirus,Betapartitivirus,,
Alphapartitivirus,Alphapartitivirus,,
Gammapartitivirus,Gammapartitivirus,,
Cryspovirus,Cryspovirus,,
Unclass. Stelpaviricetes G,Unclass. Stelpaviricetes G,,
Unclass. Stellavirales G,Unclass. Stellavirales G,,
Unclass. Astroviridae,Unclass. Astroviridae,,
Mamastrovirus,Mamastrovirus,,
Avastrovirus,Avastrovirus,,
Unclass. Patatavirales G,Unclass. Patatavirales G,,
Potyvirus,Potyvirus,,
Macluravirus,Macluravirus,,
Poacevirus,Poacevirus,,
Ipomovirus,Ipomovirus,,
Unclass. Potyviridae,Unclass. Potyviridae,,
Tritimovirus,Tritimovirus,,
Bymovirus,Bymovirus,,
Arepavirus,Arepavirus,,
Rymovirus,Rymovirus,,
Roymovirus,Roymovirus,,
Unclass. Pisoniviricetes G,Unclass. Pisoniviricetes G,,
Unclass. Sobelivirales G,Unclass. Sobelivirales G,,
Unclass. Barnaviridae,Unclass. Barnaviridae,,
Barnavirus,Barnavirus,,
Sobemovirus,Sobemovirus,,
Unclass. Solemoviridae,Unclass. Solemoviridae,,
Polemovirus,Polemovirus,,
Okavirus,Okavirus,,
Unclass. Nidovirales G,Unclass. Nidovirales G,,
Unclass. Euroniviridae,Unclass. Euroniviridae,,
Sajorinivirus,Sajorinivirus,,
Unclass. Mesoniviridae,Unclass. Mesoniviridae,,
Alphamesonivirus,Alphamesonivirus,,
Pregotovirus,Pregotovirus,,
Torovirus,Torovirus,,
Unclass. Tobaniviridae,Unclass. Tobaniviridae,,
Oncotshavirus,Oncotshavirus,,
Betacoronavirus,Betacoronavirus,,
Alphacoronavirus,Alphacoronavirus,,
Deltacoronavirus,Deltacoronavirus,,
Gammacoronavirus,Gammacoronavirus,,
Unclass. Coronaviridae,Unclass. Coronaviridae,,
Unclass. Arteriviridae,Unclass. Arteriviridae,,
Betaarterivirus,Betaarterivirus,,
Iotaarterivirus,Iotaarterivirus,,
Etaarterivirus,Etaarterivirus,,
Epsilonarterivirus,Epsilonarterivirus,,
Deltaarterivirus,Deltaarterivirus,,
Kappaarterivirus,Kappaarterivirus,,
Thetaarterivirus,Thetaarterivirus,,
Alphaarterivirus,Alphaarterivirus,,
Gammaarterivirus,Gammaarterivirus,,
Iflavirus,Iflavirus,,
Unclass. Iflaviridae,Unclass. Iflaviridae,,
Unclass. Polycipiviridae,Unclass. Polycipiviridae,,
Sopolycivirus,Sopolycivirus,,
Husavirus,Husavirus,,
Unclass. Picornavirales G,Unclass. Picornavirales G,,
Posavirus,Posavirus,,
Unclass. Marnaviridae,Unclass. Marnaviridae,,
Marnavirus,Marnavirus,,
Bacillarnavirus,Bacillarnavirus,,
Invictavirus,Invictavirus,,
Nyfulvavirus,Nyfulvavirus,,
Unclass. Solinviviridae,Unclass. Solinviviridae,,
Triatovirus,Triatovirus,,
Unclass. Dicistroviridae,Unclass. Dicistroviridae,,
Cripavirus,Cripavirus,,
Aparavirus,Aparavirus,,
Fabavirus,Fabavirus,,
Comovirus,Comovirus,,
Torradovirus,Torradovirus,,
Nepovirus,Nepovirus,,
Cheravirus,Cheravirus,,
Sadwavirus,Sadwavirus,,
Unclass. Secoviridae,Unclass. Secoviridae,,
Waikavirus,Waikavirus,,
Sequivirus,Sequivirus,,
Lagovirus,Lagovirus,,
Vesivirus,Vesivirus,,
Nebovirus,Nebovirus,,
Norovirus,Norovirus,,
Sapovirus,Sapovirus,,
Unclass. Caliciviridae,Unclass. Caliciviridae,,
Salovirus,Salovirus,,
Recovirus,Recovirus,,
Bavovirus,Bavovirus,,
Enterovirus,Enterovirus,,
Kobuvirus,Kobuvirus,,
Megrivirus,Megrivirus,,
Aphthovirus,Aphthovirus,,
Hepatovirus,Hepatovirus,,
Parechovirus,Parechovirus,,
Senecavirus,Senecavirus,,
Sapelovirus,Sapelovirus,,
Livupivirus,Livupivirus,,
Rabovirus,Rabovirus,,
Avihepatovirus,Avihepatovirus,,
Unclass. Picornaviridae,Unclass. Picornaviridae,,
Erbovirus,Erbovirus,,
Tremovirus,Tremovirus,,
Avisivirus,Avisivirus,,
Cardiovirus,Cardiovirus,,
Cosavirus,Cosavirus,,
Salivirus,Salivirus,,
Mosavirus,Mosavirus,,
Torchivirus,Torchivirus,,
Mischivirus,Mischivirus,,
Sicinivirus,Sicinivirus,,
Pasivirus,Pasivirus,,
Limnipivirus,Limnipivirus,,
Rosavirus,Rosavirus,,
Oscivirus,Oscivirus,,
Harkavirus,Harkavirus,,
Dicipivirus,Dicipivirus,,
Aalivirus,Aalivirus,,
Poecivirus,Poecivirus,,
Shanbavirus,Shanbavirus,,
Teschovirus,Teschovirus,,
Hunnivirus,Hunnivirus,,
Gallivirus,Gallivirus,,
Passerivirus,Passerivirus,,
Bopivirus,Bopivirus,,
Potamipivirus,Potamipivirus,,