count,virus
5374210.0,u172514
4301784.0,u226460
752771.0,u237705
456424.0,u202260
359783.0,u223701
275183.0,u181379
220915.0,u284609
162212.0,u135858
161055.0,u207044
127623.0,u250987
112795.0,u190817
100518.0,u143081
85334.0,u287667
57752.0,u252917
26107.0,u195076
9135.0,u294390
7283.0,u39566
4609.0,u32989
3617.0,u27694
3270.0,u269097
3216.0,u251859
2828.0,u32772
2821.0,u248640
2262.0,u294699
2145.0,u60922
2144.0,u295911
2055.0,u83279
1960.0,u34100
1797.0,u37761
1790.0,u33987
1526.0,u41137
1268.0,u78298
1201.0,u158686
1195.0,u34420
986.0,u140229
948.0,u43867
875.0,u177772
874.0,u34860
869.0,u293584
844.0,u41991
768.0,u70243
761.0,u296539
757.0,u73971
730.0,u191251
713.0,u245086
702.0,u42013
660.0,u32714
624.0,u136760
579.0,u268521
573.0,u49571
563.0,u92045
558.0,u87163
530.0,u133063
524.0,u31759
501.0,u119316
491.0,u197984
479.0,u196048
478.0,u59165
477.0,u105390
467.0,u86008
445.0,u61517
442.0,u296573
432.0,u216650
415.0,u147775
380.0,u292978
374.0,u113020
370.0,u227300
367.0,u124774
362.0,u30703
358.0,u149457
356.0,u70893
343.0,u38850
337.0,u51827
331.0,u123778
330.0,u239823
313.0,u202105
298.0,u45667
297.0,u41466
292.0,u38246
288.0,u164939
287.0,u151062
286.0,u200829
285.0,u104039
282.0,u180761
282.0,u107942
271.0,u150620
268.0,u89180
260.0,u164348
260.0,u12691
258.0,u41660
251.0,u60687
245.0,u43106
243.0,u219980
240.0,u35459
238.0,u108293
233.0,u226560
232.0,u270445
231.0,u106753
230.0,u256052
227.0,u171029
227.0,u36711
225.0,u39408
224.0,u149303
218.0,u174520
218.0,u77483
217.0,u32319
217.0,u33057
214.0,u45441
213.0,u97865
211.0,u193814
210.0,u102741
208.0,u45200
208.0,u275037
200.0,u154878
192.0,u130337
191.0,u115257
189.0,u103590
188.0,u274531
186.0,u264129
185.0,u43925
184.0,u253309
182.0,u42089
182.0,u46190
181.0,u240067
180.0,u196966
178.0,u33792
175.0,u32664
174.0,u38229
172.0,u211131
172.0,u45314
172.0,u294224
165.0,u114404
164.0,u234397
164.0,u150323
162.0,u294563
162.0,u290417
158.0,u30588
157.0,u200662
150.0,u72179
148.0,u146381
143.0,u42888
142.0,u18744
141.0,u266441
134.0,u77750
134.0,u33967
134.0,u146877
132.0,u266669
129.0,u66955
127.0,u239466
127.0,u165336
127.0,u39695
126.0,u294128
125.0,u156968
125.0,u140722
124.0,u39683
124.0,u157656
123.0,u213734
123.0,u224792
121.0,u79506
121.0,u293340
119.0,u276061
119.0,u260099
118.0,u231282
118.0,u35686
118.0,u55972
117.0,u27829
116.0,u79107
115.0,u290872
112.0,u33051
111.0,u225915
111.0,u249978
110.0,u78166
108.0,u33638
106.0,u41201
105.0,u285301
105.0,u125542
105.0,u32295
104.0,u290329
104.0,u65363
104.0,u256154
103.0,u250870
103.0,u103543
101.0,u193369
101.0,u142791
100.0,u72963
100.0,u70096
98.0,u219757
97.0,u42915
97.0,u34513
97.0,u96430
96.0,u73724
95.0,u39662
94.0,u124117
93.0,u133189
93.0,u293400
92.0,u117111
91.0,u32315
91.0,u173499
90.0,u288823
88.0,u39800
88.0,u274470
88.0,u272504
87.0,u274561
86.0,u38206
85.0,u186746
85.0,u207219
84.0,u33727
84.0,u181449
84.0,u287866
83.0,u229515
83.0,u43807
83.0,u276050
83.0,u32299
83.0,u247804
82.0,u216749
82.0,u77400
81.0,u116920
81.0,u41671
81.0,u37811
80.0,u223659
79.0,u21782
79.0,u164177
79.0,u34786
76.0,u42082
76.0,u279700
74.0,u66427
74.0,u175416
73.0,u148141
73.0,u104531
73.0,u202758
71.0,u32634
71.0,u220261
71.0,u213159
70.0,u38844
70.0,u84626
70.0,u183739
70.0,u224424
70.0,u77236
69.0,u112558
69.0,u139106
68.0,u208067
68.0,u157626
68.0,u145464
67.0,u221128
67.0,u45523
67.0,u45173
66.0,u37975
65.0,u172762
64.0,u91419
64.0,u100969
64.0,u219483
63.0,u181137
63.0,u183359
63.0,u39926
62.0,u248647
61.0,u66507
61.0,u68911
61.0,u281135
60.0,u223936
60.0,u43120
60.0,u221639
60.0,u177814
59.0,u268080
59.0,u126786
59.0,u285400
59.0,u240662
59.0,u229917
59.0,u271546
58.0,u124164
58.0,u33636
57.0,u176650
57.0,u170251
57.0,u179886
57.0,u153241
56.0,u41896
55.0,u34182
55.0,u32940
55.0,u106603
54.0,u157983
54.0,u13245
54.0,u30604
54.0,u181764
53.0,u33649
52.0,u51271
51.0,u41184
50.0,u253150
50.0,u242944
49.0,u211455
48.0,u176808
48.0,u91810
48.0,u224574
47.0,u126423
47.0,u289662
47.0,u159545
46.0,u34136
46.0,u294534
46.0,u290214
45.0,u39618
45.0,u95543
45.0,u125182
45.0,u37815
45.0,u34492
45.0,u243713
45.0,u111785
44.0,u278642
44.0,u295327
44.0,u33011
44.0,u39438
44.0,u133506
44.0,u127962
44.0,u209215
43.0,u80908
43.0,u245120
43.0,u128604
43.0,u44352
43.0,u41713
43.0,u109479
42.0,u33017
42.0,u279277
42.0,u188570
41.0,u34441
41.0,u33002
41.0,u49577
41.0,u189017
41.0,u293422
41.0,u184175
41.0,u274966
40.0,u233627
40.0,u196988
40.0,u201212
40.0,u23278
40.0,u39684
40.0,u139007
40.0,u38271
40.0,u97092
40.0,u95975
40.0,u107877
39.0,u33865
39.0,u66891
39.0,u119738
39.0,u61269
39.0,u266836
38.0,u52371
38.0,u75424
38.0,u42867
37.0,u44658
37.0,u260222
36.0,u232198
36.0,u263275
36.0,u88186
36.0,u141229
36.0,u139160
35.0,u270855
35.0,u142084
35.0,u39472
35.0,u93326
35.0,u107522
34.0,u254948
34.0,u200107
34.0,u260035
34.0,u43981
34.0,u69615
34.0,u123256
34.0,u34197
33.0,u71049
33.0,u34111
33.0,u224743
33.0,u224241
32.0,u228130
32.0,u45804
32.0,u32922
32.0,u73945
32.0,u292481
32.0,u120097
32.0,u236056
32.0,u212650
31.0,u261818
31.0,u151908
31.0,u44021
31.0,u271357
31.0,u211720
31.0,u33947
30.0,u105974
30.0,u149269
30.0,u238915
30.0,u190308
30.0,u137108
30.0,u225177
30.0,u42844
30.0,u111761
30.0,u166236
30.0,u34329
30.0,u264797
30.0,u144897
30.0,u145335
30.0,u170677
29.0,u30535
29.0,u229323
29.0,u208515
29.0,u148287
29.0,u74756
29.0,u294234
28.0,u80702
28.0,u106379
28.0,u290013
28.0,u34163
28.0,u129708
28.0,u192702
28.0,u141757
28.0,u45292
28.0,u41102
28.0,u171627
28.0,u113337
28.0,u209339
28.0,u182457
28.0,u294093
27.0,u90606
27.0,u28118
27.0,u39495
27.0,u179318
27.0,u256702
27.0,u251254
27.0,u189484
27.0,u245257
27.0,u33767
27.0,u265336
27.0,u294461
26.0,u139296
26.0,u39645
26.0,u45195
26.0,u215965
26.0,u64629
26.0,u229455
26.0,u44346
26.0,u205912
26.0,u61374
26.0,u148666
25.0,u45938
25.0,u73499
25.0,u45295
25.0,u237405
25.0,u40984
25.0,u156228
25.0,u112302
25.0,u97504
25.0,u192732
24.0,u212083
24.0,u37882
24.0,u177835
24.0,u260785
24.0,u261109
24.0,u9874
24.0,u120413
24.0,u32534
24.0,u194959
24.0,u67263
24.0,u104017
24.0,u178583
23.0,u17650
23.0,u197681
23.0,u38227
23.0,u155795
23.0,u212772
23.0,u77715
23.0,u124976
23.0,u293613
23.0,u26667
23.0,u201882
22.0,u58536
22.0,u96411
22.0,u270484
22.0,u296045
22.0,u289556
22.0,u160822
22.0,u221988
22.0,u131518
22.0,u230556
22.0,u129075
22.0,u91947
22.0,u33726
22.0,u29006
21.0,u216365
21.0,u232039
21.0,u37584
21.0,u48234
21.0,u254463
21.0,u137606
21.0,u46509
21.0,u104458
21.0,u183569
21.0,u32910
21.0,u272830
20.0,u82873
20.0,u118129
20.0,u175237
20.0,u151472
20.0,u287491
20.0,u176249
20.0,u241611
20.0,u34069
20.0,u148545
20.0,u35628
20.0,u287767
20.0,u30678
20.0,u293793
20.0,u250913
20.0,u41117
20.0,u185515
20.0,u232348
20.0,u183476
20.0,u276623
20.0,u157331
20.0,u34470
20.0,u84062
20.0,u38838
19.0,u267746
19.0,u169715
19.0,u34866
19.0,u187985
19.0,u193338
19.0,u30548
19.0,u139426
19.0,u98871
19.0,u137238
19.0,u93975
19.0,u144031
19.0,u132599
19.0,u34070
19.0,u139411
19.0,u126013
19.0,u37827
18.0,u288279
18.0,u43064
18.0,u42891
18.0,u152695
18.0,u45752
18.0,u280930
18.0,u35449
18.0,u147885
18.0,u256777
18.0,u255417
18.0,u283734
18.0,u257707
18.0,u218312
18.0,u258668
18.0,u30699
17.0,u281136
17.0,u41491
17.0,u43800
17.0,u41535
17.0,u33086
17.0,u208430
17.0,u34503
17.0,u42846
17.0,u95235
17.0,u178866
17.0,u267605
17.0,u111101
17.0,u62168
16.0,u119234
16.0,u114622
16.0,u294113
16.0,u37870
16.0,u131800
16.0,u34490
16.0,u283565
16.0,u200530
16.0,u231452
16.0,u173283
16.0,u268557
16.0,u178314
16.0,u272168
16.0,u272712
16.0,u255364
16.0,u80843
16.0,u32924
16.0,u279200
16.0,u32933
16.0,u32974
16.0,u279271
16.0,u284692
16.0,u42438
16.0,u150847
15.0,u133968
15.0,u56516
15.0,u53683
15.0,u59342
15.0,u94997
15.0,u45273
15.0,u3280
15.0,u267028
15.0,u218745
15.0,u41541
15.0,u168754
15.0,u275351
15.0,u32290
15.0,u278636
15.0,u244308
15.0,u186739
15.0,u17123
15.0,u162194
15.0,u215208
15.0,u289565
15.0,u35487
15.0,u254383
15.0,u223107
15.0,u262243
15.0,u238550
15.0,u36267
15.0,u233147
14.0,u119615
14.0,u66789
14.0,u130909
14.0,u293029
14.0,u199198
14.0,u42014
14.0,u154920
14.0,u57546
14.0,u146164
14.0,u110102
14.0,u41709
14.0,u210079
14.0,u135132
14.0,u183412
14.0,u210854
14.0,u210303
14.0,u77700
14.0,u129220
14.0,u148991
14.0,u67825
14.0,u124669
14.0,u94724
14.0,u220582
14.0,u159260
14.0,u148600
14.0,u42878
14.0,u128334
13.0,u45661
13.0,u38364
13.0,u256824
13.0,u194578
13.0,u267420
13.0,u62203
13.0,u204571
13.0,u39558
13.0,u282483
13.0,u244253
13.0,u71250
13.0,u73273
13.0,u43960
13.0,u216146
13.0,u149824
13.0,u242587
13.0,u39126
13.0,u230975
13.0,u41836
13.0,u246208
13.0,u41526
12.0,u34289
12.0,u250201
12.0,u135550
12.0,u38280
12.0,u33630
12.0,u135542
12.0,u240042
12.0,u59071
12.0,u35629
12.0,u61965
12.0,u58924
12.0,u186644
12.0,u277877
12.0,u165653
12.0,u42871
12.0,u225763
12.0,u270711
12.0,u283558
12.0,u86009
12.0,u291626
12.0,u161904
12.0,u185558
12.0,u155838
12.0,u141549
12.0,u89109
12.0,u42050
12.0,u115434
12.0,u195190
12.0,u110101
12.0,u199889
11.0,u215406
11.0,u44052
11.0,u34443
11.0,u218779
11.0,u103418
11.0,u200210
11.0,u292605
11.0,u159932
11.0,u219057
11.0,u230902
11.0,u104508
11.0,u233403
11.0,u73388
11.0,u36248
11.0,u34145
11.0,u73114
11.0,u71343
11.0,u120581
11.0,u284954
11.0,u98565
11.0,u215078
11.0,u165569
11.0,u222861
11.0,u94734
11.0,u266921
11.0,u256833
11.0,u256625
11.0,u269351
11.0,u54462
11.0,u270207
11.0,u55411
11.0,u224178
11.0,u209892
11.0,u271868
11.0,u107527
11.0,u130595
11.0,u67243
11.0,u98279
11.0,u264291
11.0,u32995
11.0,u279673
11.0,u89294
10.0,u234456
10.0,u258275
10.0,u106291
10.0,u86608
10.0,u292828
10.0,u11036
10.0,u290441
10.0,u281120
10.0,u82512
10.0,u66624
10.0,u273806
10.0,u22605
10.0,u24821
10.0,u89303
10.0,u238875
10.0,u90916
10.0,u265579
10.0,u227684
10.0,u62316
10.0,u96913
10.0,u98124
10.0,u104313
10.0,u239930
10.0,u33690
10.0,u229228
10.0,u43799
10.0,u116602
10.0,u148158
10.0,u222425
10.0,u166670
10.0,u145788
10.0,u205096
10.0,u176063
10.0,u219028
10.0,u41495
10.0,u143265
10.0,u185826
10.0,u129582
10.0,u187461
10.0,u191642
10.0,u138017
10.0,u130318
10.0,u39074
10.0,u37806
10.0,u133517
10.0,u202624
10.0,u133713
10.0,u166278
10.0,u221643
10.0,u205264
10.0,u114667
10.0,u42390
10.0,u161089
10.0,u158437
10.0,u114960
10.0,u226065
10.0,u150388
10.0,u149876
10.0,u156134
10.0,u155478
10.0,u119760
10.0,u226131
10.0,u44150
9.0,u45759
9.0,u113413
9.0,u137290
9.0,u203918
9.0,u266879
9.0,u198172
9.0,u39336
9.0,u74211
9.0,u67666
9.0,u87710
9.0,u173305
9.0,u44108
9.0,u79358
9.0,u276376
9.0,u147640
9.0,u168085
9.0,u42105
9.0,u281978
9.0,u44023
9.0,u40448
9.0,u285779
9.0,u271152
9.0,u270758
9.0,u144888
9.0,u178302
9.0,u289320
9.0,u86307
9.0,u86915
9.0,u35407
9.0,u260300
9.0,u98688
9.0,u243983
9.0,u33058
9.0,u103355
9.0,u50962
9.0,u241539
9.0,u240892
9.0,u215290
9.0,u103891
9.0,u36829
9.0,u104487
9.0,u221649
9.0,u34226
9.0,u236001
9.0,u118480
9.0,u223778
9.0,u99684
9.0,u119815
9.0,u211622
9.0,u225780
9.0,u37722
9.0,u206971
9.0,u253785
9.0,u209001
9.0,u244611
8.0,u159257
8.0,u228780
8.0,u286443
8.0,u108438
8.0,u232182
8.0,u295007
8.0,u149583
8.0,u162632
8.0,u232191
8.0,u228592
8.0,u294501
8.0,u117564
8.0,u288570
8.0,u115973
8.0,u293863
8.0,u161424
8.0,u157134
8.0,u109854
8.0,u154842
8.0,u224681
8.0,u153750
8.0,u157732
8.0,u223080
8.0,u117082
8.0,u290897
8.0,u205099
8.0,u233761
8.0,u165577
8.0,u135327
8.0,u251088
8.0,u201995
8.0,u201287
8.0,u249700
8.0,u210266
8.0,u265469
8.0,u200354
8.0,u90833
8.0,u90513
8.0,u214448
8.0,u188342
8.0,u184032
8.0,u129079
8.0,u183427
8.0,u85971
8.0,u84541
8.0,u240058
8.0,u216878
8.0,u123563
8.0,u95891
8.0,u82030
8.0,u123342
8.0,u236613
8.0,u123000
8.0,u222660
8.0,u279250
8.0,u167134
8.0,u296608
8.0,u35675
8.0,u42240
8.0,u58915
8.0,u30676
8.0,u37902
8.0,u40650
8.0,u34084
8.0,u32932
8.0,u42349
8.0,u40964
8.0,u14390
8.0,u64912
8.0,u54564
8.0,u49572
8.0,u42015
8.0,u52416
8.0,u51302
8.0,u51180
8.0,u45609
8.0,u41912
8.0,u44233
8.0,u39146
8.0,u44010
8.0,u44015
8.0,u32207
8.0,u39122
8.0,u35528
7.0,u235402
7.0,u235549
7.0,u114972
7.0,u65935
7.0,u205625
7.0,u114331
7.0,u225073
7.0,u183278
7.0,u225529
7.0,u116213
7.0,u224725
7.0,u184277
7.0,u33785
7.0,u35586
7.0,u87806
7.0,u33588
7.0,u173649
7.0,u65085
7.0,u224638
7.0,u267608
7.0,u224512
7.0,u124185
7.0,u242393
7.0,u220881
7.0,u20573
7.0,u276575
7.0,u276350
7.0,u102978
7.0,u84517
7.0,u92701
7.0,u223524
7.0,u64005
7.0,u223270
7.0,u195165
7.0,u39441
7.0,u99959
7.0,u193175
7.0,u101513
7.0,u191704
7.0,u281903
7.0,u190145
7.0,u199975
7.0,u104501
7.0,u189087
7.0,u104880
7.0,u105169
7.0,u265665
7.0,u39705
7.0,u201837
7.0,u292465
7.0,u107713
7.0,u108449
7.0,u108675
7.0,u37864
7.0,u39659
7.0,u186256
7.0,u211778
7.0,u294765
7.0,u161322
7.0,u134717
7.0,u42854
7.0,u160633
7.0,u261470
7.0,u213727
7.0,u42919
7.0,u137533
7.0,u30685
7.0,u140583
7.0,u257949
7.0,u141829
7.0,u32747
7.0,u43839
7.0,u144278
7.0,u144796
7.0,u45164
7.0,u32743
7.0,u250654
7.0,u254591
7.0,u216652
7.0,u245035
7.0,u237574
7.0,u243698
7.0,u167058
7.0,u244573
7.0,u129406
7.0,u129893
7.0,u130038
6.0,u241479
6.0,u199915
6.0,u256421
6.0,u92335
6.0,u35404
6.0,u129256
6.0,u198468
6.0,u94023
6.0,u144331
6.0,u34890
6.0,u62289
6.0,u145304
6.0,u96782
6.0,u97257
6.0,u256621
6.0,u283609
6.0,u99507
6.0,u282879
6.0,u166761
6.0,u256647
6.0,u50290
6.0,u256344
6.0,u43822
6.0,u256319
6.0,u150093
6.0,u87010
6.0,u43933
6.0,u251779
6.0,u251606
6.0,u149349
6.0,u251156
6.0,u128644
6.0,u35551
6.0,u27555
6.0,u203158
6.0,u153092
6.0,u64623
6.0,u202296
6.0,u38270
6.0,u147661
6.0,u50998
6.0,u255990
6.0,u200516
6.0,u200297
6.0,u64109
6.0,u100807
6.0,u115906
6.0,u257306
6.0,u115894
6.0,u239811
6.0,u177648
6.0,u136588
6.0,u23495
6.0,u185257
6.0,u160372
6.0,u238369
6.0,u276012
6.0,u183793
6.0,u111443
6.0,u112272
6.0,u271933
6.0,u40460
6.0,u243871
6.0,u245667
6.0,u32898
6.0,u133309
6.0,u56515
6.0,u263498
6.0,u30551
6.0,u273270
6.0,u107633
6.0,u247660
6.0,u34247
6.0,u104739
6.0,u229937
6.0,u190656
6.0,u156687
6.0,u281486
6.0,u34496
6.0,u281311
6.0,u42022
6.0,u60328
6.0,u139491
6.0,u242982
6.0,u186576
6.0,u157569
6.0,u105065
6.0,u45669
6.0,u259977
6.0,u279667
6.0,u122507
6.0,u107086
6.0,u260339
6.0,u158872
6.0,u280195
6.0,u150468
6.0,u6947
6.0,u37141
6.0,u72890
6.0,u206783
6.0,u72264
6.0,u36742
6.0,u207282
6.0,u37521
6.0,u293461
6.0,u10992
6.0,u11191
6.0,u66819
6.0,u206467
6.0,u79653
6.0,u12316
6.0,u69819
6.0,u65588
6.0,u211118
6.0,u13358
5.0,u213516
5.0,u209904
5.0,u42130
5.0,u226959
5.0,u295450
5.0,u246876
5.0,u183006
5.0,u163548
5.0,u207966
5.0,u244767
5.0,u260965
5.0,u47082
5.0,u135543
5.0,u34067
5.0,u274630
5.0,u291584
5.0,u135147
5.0,u263303
5.0,u162537
5.0,u230323
5.0,u79120
5.0,u79172
5.0,u180998
5.0,u286002
5.0,u114536
5.0,u94051
5.0,u262575
5.0,u10194
5.0,u92860
5.0,u82367
5.0,u274972
5.0,u221743
5.0,u77646
5.0,u66720
5.0,u270285
5.0,u211311
5.0,u120305
5.0,u41768
5.0,u270008
5.0,u124426
5.0,u294048
5.0,u130768
5.0,u239438
5.0,u52588
5.0,u41630
5.0,u99867
5.0,u282824
5.0,u223032
5.0,u41615
5.0,u242178
5.0,u194624
5.0,u267016
5.0,u33779
5.0,u49498
5.0,u179986
5.0,u229576
5.0,u272252
5.0,u22320
5.0,u76510
5.0,u41914
5.0,u128523
5.0,u118361
5.0,u178677
5.0,u66062
5.0,u220797
5.0,u195099
5.0,u238544
5.0,u68855
5.0,u59778
5.0,u199147
5.0,u184617
5.0,u85189
5.0,u257034
5.0,u155653
5.0,u225822
5.0,u249471
5.0,u43914
5.0,u110801
5.0,u110780
5.0,u185994
5.0,u110589
5.0,u148927
5.0,u14135
5.0,u215194
5.0,u148909
5.0,u108481
5.0,u37907
5.0,u144192
5.0,u215488
5.0,u148197
5.0,u10524
5.0,u218286
5.0,u32182
5.0,u184900
5.0,u43911
5.0,u34255
5.0,u44368
5.0,u153285
5.0,u255541
5.0,u153254
5.0,u38846
5.0,u57599
5.0,u43352
5.0,u150616
5.0,u286792
5.0,u108024
5.0,u39609
5.0,u73693
5.0,u158374
5.0,u183518
5.0,u64189
5.0,u112565
5.0,u59603
5.0,u216887
5.0,u278046
5.0,u107156
5.0,u107874
5.0,u34193
5.0,u275914
5.0,u32367
5.0,u38218
5.0,u257807
5.0,u45296
5.0,u107265
4.0,u271333
4.0,u178453
4.0,u239933
4.0,u79816
4.0,u109474
4.0,u39729
4.0,u276582
4.0,u109275
4.0,u185392
4.0,u41573
4.0,u232530
4.0,u119411
4.0,u119633
4.0,u185961
4.0,u24804
4.0,u269324
4.0,u24929
4.0,u108089
4.0,u108253
4.0,u276508
4.0,u79376
4.0,u271709
4.0,u183938
4.0,u235070
4.0,u183655
4.0,u234748
4.0,u113755
4.0,u40673
4.0,u182659
4.0,u113695
4.0,u182879
4.0,u293024
4.0,u175350
4.0,u113407
4.0,u112433
4.0,u183228
4.0,u113117
4.0,u113097
4.0,u293023
4.0,u233420
4.0,u179096
4.0,u56209
4.0,u22334
4.0,u238088
4.0,u117264
4.0,u109753
4.0,u184773
4.0,u180377
4.0,u109839
4.0,u237650
4.0,u57792
4.0,u22138
4.0,u34146
4.0,u55876
4.0,u37800
4.0,u40928
4.0,u273599
4.0,u175501
4.0,u243556
4.0,u122270
4.0,u37282
4.0,u256716
4.0,u256788
4.0,u45216
4.0,u143064
4.0,u249260
4.0,u295826
4.0,u214732
4.0,u140581
4.0,u258739
4.0,u259041
4.0,u295720
4.0,u45675
4.0,u259335
4.0,u138784
4.0,u32874
4.0,u158589
4.0,u69756
4.0,u42920
4.0,u214472
4.0,u214430
4.0,u158942
4.0,u159148
4.0,u159300
4.0,u160442
4.0,u160548
4.0,u69930
4.0,u144313
4.0,u122294
4.0,u144614
4.0,u217341
4.0,u252498
4.0,u217789
4.0,u43985
4.0,u44055
4.0,u253161
4.0,u70605
4.0,u151740
4.0,u216728
4.0,u148978
4.0,u152275
4.0,u32311
4.0,u254392
4.0,u216532
4.0,u152686
4.0,u148031
4.0,u32710
4.0,u71440
4.0,u153192
4.0,u32211
4.0,u153538
4.0,u295960
4.0,u44776
4.0,u295909
4.0,u256465
4.0,u245886
4.0,u213481
4.0,u134163
4.0,u47933
4.0,u265223
4.0,u167112
4.0,u128858
4.0,u128843
4.0,u243197
4.0,u128406
4.0,u220778
4.0,u128215
4.0,u27011
4.0,u170292
4.0,u242513
4.0,u125895
4.0,u241668
4.0,u171840
4.0,u171841
4.0,u267404
4.0,u52103
4.0,u124571
4.0,u172659
4.0,u41672
4.0,u173404
4.0,u267916
4.0,u174495
4.0,u240373
4.0,u33633
4.0,u166913
4.0,u211966
4.0,u42027
4.0,u162944
4.0,u30558
4.0,u295132
4.0,u47975
4.0,u219762
4.0,u262515
4.0,u74868
4.0,u48153
4.0,u213152
4.0,u133235
4.0,u48524
4.0,u244984
4.0,u162987
4.0,u129999
4.0,u37397
4.0,u131766
4.0,u263543
4.0,u263604
4.0,u164090
4.0,u164399
4.0,u164877
4.0,u264007
4.0,u30546
4.0,u42073
4.0,u130415
4.0,u34229
4.0,u271106
4.0,u282871
4.0,u95236
4.0,u194577
4.0,u280932
4.0,u189370
4.0,u222795
4.0,u227234
4.0,u95618
4.0,u286664
4.0,u64183
4.0,u194155
4.0,u39464
4.0,u39209
4.0,u100681
4.0,u64531
4.0,u197200
4.0,u87562
4.0,u88368
4.0,u87553
4.0,u285725
4.0,u226799
4.0,u283907
4.0,u94383
4.0,u81243
4.0,u94371
4.0,u288040
4.0,u38226
4.0,u230911
4.0,u17279
4.0,u82505
4.0,u288284
4.0,u34498
4.0,u96936
4.0,u15275
4.0,u203430
4.0,u96861
4.0,u96744
4.0,u190808
4.0,u102554
4.0,u96660
4.0,u39213
4.0,u282047
